,Year,Team,Total_Athletes,total_medal,Country_host,GDP,NOC,Population
222,1980,Denmark,8,8,Russia,,DNK,5123027.0
223,1980,Ethiopia,3,4,Russia,2326573000000.0,ETH,35264898.0
224,1980,Finland,8,9,Russia,44498283621.0,FIN,4779535.0
225,1980,France,25,29,Russia,615834000000.0,FRA,55340782.0
226,1980,Germany,224,264,Russia,,DEU,78288576.0
227,1980,Greece,5,5,Russia,,GRC,9642505.0
228,1980,Guyana,1,1,Russia,530440000.0,GUY,780153.0
229,1980,Hungary,56,61,Russia,1396871750000.0,HUN,10711122.0
230,1980,India,16,16,Russia,150951000000.0,IND,696783517.0
231,1980,Ireland,3,3,Russia,18341273533.0,IRL,3412800.0
232,1980,Italy,35,37,Russia,392379000000.0,ITA,56433883.0
233,1980,Jamaica,3,3,Russia,2425033998.0,JAM,2163045.0
234,1980,Lebanon,1,1,Russia,,LBN,2605293.0
235,1980,Mexico,9,10,Russia,134540000000.0,MEX,69360871.0
236,1980,Mongolia,4,4,Russia,,MNG,1689622.0
237,1980,Netherlands,6,6,Russia,,NLD,14149800.0
238,1980,North Korea,5,5,Russia,19687719672.0,PRK,17472140.0
239,1980,Poland,49,50,Russia,46383051589.5,POL,35574150.0
240,1980,Romania,60,68,Russia,4125115619.0,ROU,22242653.0
241,1980,Russia,385,442,Russia,,RUS,139010000.0
242,1980,Serbia,57,57,Russia,,SRB,7796.279999999997
243,1980,Spain,23,24,Russia,214019000000.0,ESP,37491165.0
244,1980,Sweden,20,20,Russia,121647000000.0,SWE,8310531.0
245,1980,Switzerland,2,2,Russia,,CHE,6319408.0
246,1980,Tanzania,2,2,Russia,,TZA,18683157.0
247,1980,UK,43,47,Russia,438994000000.0,GBR,56314216.0
248,1980,Uganda,1,1,Russia,2139025000.0,UGA,12549540.0
249,1980,Venezuela,1,1,Russia,55653325581.0,VEN,15343916.0
250,1980,Zimbabwe,15,15,Russia,,ZWE,7164172.0
251,1984,Algeria,2,2,USA,,DZA,21893853.0
252,1984,Australia,46,52,USA,177176000000.0,AUS,15544000.0
253,1984,Austria,3,3,USA,72121016623.0,AUT,7561434.0
254,1984,Belgium,5,5,USA,87650915976.0,BEL,9855372.0
255,1984,Brazil,36,36,USA,203305000000.0,BRA,132800684.0
256,1984,Cameroon,1,1,USA,7381854747.0,CMR,9742263.0
257,1984,Canada,74,87,USA,340548000000.0,CAN,25702000.0
258,1984,China,64,74,USA,230687000000.0,CHN,1036825000.0
259,1984,China,64,74,USA,230687000000.0,HKG,5397900.0
260,1984,Colombia,1,1,USA,38729822782.0,COL,30350086.0
261,1984,Denmark,12,13,USA,,DNK,5111619.0
262,1984,Dominican Republic,1,1,USA,8622000100.0,DOM,6351572.0
263,1984,Egypt,1,1,USA,28137369499.0,EGY,48868951.0
264,1984,Finland,12,12,USA,51014090521.0,FIN,4881803.0
265,1984,France,63,67,USA,561852000000.0,FRA,56470769.0
266,1984,Germany,146,158,USA,,DEU,77858685.0
267,1984,Greece,2,2,USA,,GRC,9895801.0
268,1984,Iceland,1,1,USA,2788530415.0,ISL,239511.0
269,1984,Ireland,1,1,USA,20790917197.0,IRL,3532423.0
270,1984,Italy,58,63,USA,441581000000.0,ITA,56576718.0
271,1984,Ivory Coast,1,1,USA,6838185419.0,CIV,9826055.0
272,1984,Jamaica,6,7,USA,3619294121.0,JAM,2308947.0
273,1984,Japan,40,49,USA,1232340000000.0,JPN,120018000.0
274,1984,Kenya,3,3,USA,5979198464.0,KEN,18937738.0
275,1984,Mexico,5,6,USA,148867000000.0,MEX,75780605.0
276,1984,Morocco,2,2,USA,16251460689.0,MAR,22037610.0
277,1984,Netherlands,36,41,USA,,NLD,14424211.0
278,1984,New Zealand,19,23,USA,24308622503.0,NZL,3227100.0
279,1984,Nigeria,5,5,USA,,NGA,81497739.0
280,1984,Norway,4,4,USA,61627240831.0,NOR,4140099.0
281,1984,Pakistan,16,16,USA,28691890433.0,PAK,89228949.0
282,1984,Peru,1,1,USA,17345624454.0,PER,19099584.0
283,1984,Portugal,3,3,USA,,PRT,9996232.0
284,1984,Puerto Rico,2,2,USA,,PRI,3344190.0
285,1984,Romania,94,106,USA,4804950914.0,ROU,22655940.0
286,1984,Serbia,85,87,USA,,SRB,7875.051
